species,common_name,status,url,count
Arenaria interpres,Ruddy turnstone,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947996/Arenaria_interpres_lz6htn.png,44589
Passer montanus,Eurasian tree sparrow,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948035/Passer_montanus_xrxtcg.png,173152
Anthus trivialis,Tree pipit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947965/Anthus_trivialis_shp6v0.png,77210
Crex crex,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948011/Crex_crex_hrj4z5.png,4819
Tringa glareola,Wood sandpiper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948049/Tringa_glareola_hwwx5e.png,78384
Rissa tridactyla,Black-legged kittiwake,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948044/Rissa_tridactyla_xp6xfs.png,39710
Aquila chrysaetos,Golden eagle,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947964/Aquila_chrysaetos_qx86br.png,16484
Emberiza citrinella,Yellowhammer,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947975/Emberiza_citrinella_kagkxu.png,267544
Tringa erythropus,Spotted redshank,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948049/Tringa_erythropus_ozzoof.png,56170
Podiceps grisegena,Red-necked grebe,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948040/Podiceps_grisegena_lwirsg.png,120206
Melanitta fusca,Velvet scoter,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947983/Melanitta_fusca_kbp93s.png,69127
Delichon urbicum,Western house martin,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Delichon_urbicum_zdapsq.png,142793
Linaria flavirostris,Twite,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948026/Linaria_flavirostris_wcdivf.png,45007
Larus fuscus,Lesser black-backed gull,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948024/Larus_fuscus_tem7ui.png,55408
Stercorarius skua,Great skua,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Stercorarius_skua_mfv031.png,11803
Cepphus grylle,Black guillemot,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947969/Cepphus_grylle_v30d90.png,25637
Larus cachinnans,Caspian gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948024/Larus_cachinnans_bgrioo.png,23740
Passer domesticus,House sparrow,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948034/Passer_domesticus_ke88tx.png,111255
Lymnocryptes minimus,Jack snipe,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947982/Lymnocryptes_minimus_mth2gs.png,8255
Lophophanes cristatus,Crested tit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Lophophanes_cristatus_auitq1.png,39745
Gallinula chloropus,Common moorhen,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948018/Gallinula_chloropus_ursmym.png,117841
Limosa limosa,Black-tailed godwit,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948026/Limosa_limosa_gcdzgh.png,26366
Calidris canutus,Red knot,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947968/Calidris_canutus_v1xm0r.png,63688
Hippolais icterina,Icterine warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947979/Hippolais_icterina_i3xv9q.png,56172
Riparia riparia,Sand martin,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948043/Riparia_riparia_fv5cm5.png,86358
Gavia arctica,Black-throated loon,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948019/Gavia_arctica_mjjxtd.png,33629
Perdix perdix,Grey partridge,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947987/Perdix_perdix_lkmpsp.png,45790
Falco subbuteo,Eurasian hobby,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948017/Falco_subbuteo_unk4p3.png,43798
Cygnus columbianus,Tundra swan,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948012/Cygnus_columbianus_g0cqyv.png,28872
Lullula arborea,Woodlark,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Lullula_arborea_vx13jn.png,35064
Phylloscopus inornatus,Yellow-browed warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948038/Phylloscopus_inornatus_klkozn.png,5793
Anser brachyrhynchus,Pink-footed goose,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947976/Anser_brachyrhynchus_cenx4m.png,52868
Aythya nyroca,Ferruginous duck,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947999/Aythya_nyroca_mpqmjd.png,2278
Stercorarius parasiticus,Parasitic jaeger,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Stercorarius_parasiticus_zi3ebe.png,35900
Hydroprogne caspia,Caspian tern,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947979/Hydroprogne_caspia_sazs2w.png,32005
Podiceps cristatus,Great crested grebe,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947990/Podiceps_cristatus_q1mtn3.png,245713
Scolopax rusticola,Eurasian woodcock,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948045/Scolopax_rusticola_ctz7gi.png,32273
Turdus viscivorus,Mistle thrush,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947997/Turdus_viscivorus_vzl99e.png,83366
Ichthyaetus melanocephalus,Mediterranean gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948022/Ichthyaetus_melanocephalus_yupe40.png,15939
Phylloscopus trochilus,Willow warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948039/Phylloscopus_trochilus_dnhg1j.png,173460
Sterna paradisaea,Arctic tern,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947994/Sterna_paradisaea_bab9dw.png,51397
Calidris temminckii,Temminck's stint,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948004/Calidris_temminckii_zqfe8q.png,20640
Locustella naevia,Common grasshopper warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948026/Locustella_naevia_xxfp0a.png,23494
Botaurus stellaris,Eurasian bittern,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947999/Botaurus_stellaris_v4k7iy.png,49313
Sitta europaea,Eurasian nuthatch,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947993/Sitta_europaea_oe2kjv.png,175328
Muscicapa striata,Spotted flycatcher,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948031/Muscicapa_striata_v49nfl.png,37601
Oenanthe oenanthe,Northern wheatear,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948033/Oenanthe_oenanthe_z6powh.png,81035
Anser rossii,Ross's goose,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947982/Anser_rossii_tbeqyj.png,300
Charadrius alexandrinus,Kentish plover,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948006/Charadrius_alexandrinus_olzpzg.png,6019
Cinclus cinclus,White-throated dipper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948008/Cinclus_cinclus_hpi6wr.png,29544
Motacilla cinerea,Grey wagtail,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948031/Motacilla_cinerea_ur82zb.png,61369
